"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3670","membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1513","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3671","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0165","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3672","membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1857","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3679","membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1265","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3698","TetR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA1504","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3705","enoly-CoA hydratase/isomerase family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA0744","probable enoyl-CoA hydratase/isomerase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3711","DNA polymerase III subunit epsilon","","Pseudomonas aeruginosa PAO1 (Reference)","PA1816","DNA polymerase III, epsilon chain",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3714","hydroxyacylglutathione hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1813","probable hydroxyacylglutathione hydrolase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3718","ABC transporter permease","","Pseudomonas aeruginosa PAO1 (Reference)","PA1809","NppB",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3721","enoyl-(acyl-carrier-protein) reductase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1806","NADH-dependent enoyl-ACP reductase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3726","ATP-dependent Clp protease, proteolytic subunit ClpP","","Pseudomonas aeruginosa PAO1 (Reference)","PA1801","ClpP",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3727","trigger factor","","Pseudomonas aeruginosa PAO1 (Reference)","PA1800","trigger factor",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3733","methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1796","5,10-methylene-tetrahydrofolate dehydrogenase / cyclohydrolase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3743","glutaminyl-tRNA synthetase","","Pseudomonas aeruginosa PAO1 (Reference)","PA1794","glutaminyl-tRNA synthetase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3744","peptidyl-prolyl cis-trans isomerase B","","Pseudomonas aeruginosa PAO1 (Reference)","PA1793","peptidyl-prolyl cis-trans isomerase B",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3746","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3746","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA4797","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3746","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2690","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3747","drug resistance transporter, EmrB/QacA family","","Pseudomonas aeruginosa PAO1 (Reference)","PA5160","drug efflux transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3751","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA1788","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3760","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3071","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3761","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3072","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3762","von Willebrand factor type A domain-containing protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3073","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3764","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3075","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3766","exonuclease SbcC","","Pseudomonas aeruginosa PAO1 (Reference)","PA4282","probable exonuclease",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3768","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA4204","periplasmic gluconolactonase, PpgL",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3786","PspA/IM30 family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3731","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3787","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3732","Uncharacterized protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3789","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3084","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3790","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3085","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3792","serine/threonine protein phosphatase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3087","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3793","inorganic polyphosphate/ATP-NAD kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3088","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3797","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3089","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3798","arsenical pump membrane protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2278","ArsB protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2167 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3274 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_0372 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_5571 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3325 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3274 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_0372 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3146 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_5571 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3274 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3146 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2465 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_5571 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3746 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3146 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2465 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2167 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3746 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3325 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2465 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2167 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_0372 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3434","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3746 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA2319","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3325 | ISPsy7, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA3993","probable transposase","PA0445 | probable transposase"
Pseudomonas syringae pv. tomato DC3000","PSPTO_3804","hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3093","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3808","ISPsy6, transposase","PSPTO_4485 | ISPsy6, transposase","Pseudomonas aeruginosa PAO1 (Reference)","PA1368","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3811","amidophosphoribosyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3108","amidophosphoribosyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3812","cvpA family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3109","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3814","bifunctional folylpolyglutamate synthase/dihydrofolate synthase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3111","folylpolyglutamate synthetase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3815","acetyl-CoA carboxylase subunit beta","","Pseudomonas aeruginosa PAO1 (Reference)","PA3112","acetyl-CoA carboxylase beta subunit",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3816","N-(5'-phosphoribosyl)anthranilate isomerase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3113","N-(5'phosphoribosyl)anthranilate (PRA) isomerase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3818","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3115","Motility protein FimV",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3821","lipoprotein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2955","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3822","TetR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA2957","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3824","TatD family deoxyribonuclease","","Pseudomonas aeruginosa PAO1 (Reference)","PA2959","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3825","type IV pilus biogenesis protein PilZ","","Pseudomonas aeruginosa PAO1 (Reference)","PA2960","type 4 fimbrial biogenesis protein PilZ",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3827","thymidylate kinase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2962","thymidylate kinase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3829","4-amino-4-deoxychorismate lyase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2964","4-amino-4-deoxychorismate lyase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3831","acyl carrier protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2966","acyl carrier protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3835","50S ribosomal protein L32","","Pseudomonas aeruginosa PAO1 (Reference)","PA2970","50S ribosomal protein L32",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3837","maf protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2972","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3839","HAD-superfamily hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2974","probable hydrolase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3841","ribonuclease, Rne/Rng family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2976","ribonuclease E",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3843","3-deoxy-D-manno-octulosonate cytidylyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2979","3-deoxy-manno-octulosonate cytidylyltransferase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3846","biopolymer transport protein ExbD/TolR family","","Pseudomonas aeruginosa PAO1 (Reference)","PA2982","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3847","MotA/TolQ/ExbB proton channel family protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2983","probable tolQ-type transport protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3848","DNA internalization-related competence protein ComEC/Rec2","","Pseudomonas aeruginosa PAO1 (Reference)","PA2984","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3854","inner membrane transport permease","","Pseudomonas aeruginosa PAO1 (Reference)","PA2811","probable permease of ABC-2 transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3857","acyl-CoA dehydrogenase","","Pseudomonas aeruginosa PAO1 (Reference)","PA2815","probable acyl-CoA dehydrogenase",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3858","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA2817","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3859","hypothetical protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3240","conserved hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3871","lipid A biosynthesis lauroyl acyltransferase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3242","temperature-regulated acyltransferase HtrB1",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3872","septum site-determining protein MinC","","Pseudomonas aeruginosa PAO1 (Reference)","PA3243","cell division inhibitor MinC",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3874","cell division topological specificity factor MinE","","Pseudomonas aeruginosa PAO1 (Reference)","PA3245","cell division topological specificity factor MinE",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3875","ribosomal large subunit pseudouridine synthase A","","Pseudomonas aeruginosa PAO1 (Reference)","PA3246","pseudouridine synthase RluA",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3876","aspartyl aminopeptidase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3247","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3877","GntR family transcriptional regulator","","Pseudomonas aeruginosa PAO1 (Reference)","PA3249","probable transcriptional regulator",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3878","ABC transporter substrate-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3250","hypothetical protein",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3882","polyamine ABC transporter, ATP-binding protein","","Pseudomonas aeruginosa PAO1 (Reference)","PA3254","probable ATP-binding component of ABC transporter",""
Pseudomonas syringae pv. tomato DC3000","PSPTO_3883","HAD-superfamily hydrolase","","Pseudomonas aeruginosa PAO1 (Reference)","PA3255","hypothetical protein",""
